"Educational attainment","Area of study (e.g. Computer Science, Civil engineering)","Professional Experience in Software development","Current role","Country","Rate your level of agreement with the following statements.  [I have experience with tools that allow the creation of diagrams from plain text or code (e.g. PlantUML, Mermaid.JS, others).]","Rate your level of agreement with the following statements.  [I am familiar with the Unified Modeling Language (UML).]","Rate your level of agreement with the following statements.  [I am familiar with UML component diagrams.]","Rate your level of agreement with the following statements.  [I am familiar with UML deployment diagrams.]","I think that with Infragenie, it is easy to... [create architectural diagrams.]","I think that with Infragenie, it is easy to... [keep architectural diagrams updated.]","I think that with Infragenie, it is easy to... [keep architectural diagrams consistent with the source-code.]","I think that with Infragenie, it is easy to... [add new information (not inferred from the source-code) to the diagrams.]","I think that with Infragenie, it is easy to... [change the generated architectural diagrams.]","I think that with Infragenie, it is easy to... [verify how changes may impact the architecture (e.g. adding new services, changing network ports, etc.).]","I think that Infragenie is useful to help ensure that architectural documentation is... [complete.]","I think that Infragenie is useful to help ensure that architectural documentation is... [consistent.]","I think that Infragenie is useful to help ensure that architectural documentation is... [precise.]","I think that Infragenie is useful to help ensure that architectural documentation is... [easier to consult.]","I think that Infragenie is useful to help ensure that architectural documentation is... [easier to understand.]","I think that Infragenie is useful to help ensure that architectural documentation is... [easier to maintain.]","I think that Infragenie is useful to help ensure that architectural documentation is... [easier to update.]","I think that Infragenie is useful to help to... [plan future changes on the architecture.]","I think that Infragenie is useful to help to... [understand the impact of changes in the architecture.]","I think that Infragenie is useful to help to... [be more confident while introducing architectural changes.]","I think that Infragenie is useful to help to... [implement architectural changes faster.]","I think that the diagram provided by Infragenie shows [a complete view of the architecture.]","I think that the diagram provided by Infragenie shows [the most relevant elements of the architecture.]","If you think that something is not being represented by infragenie, could you please let us know what it is?","The edit capabilities of Infragenie allow to... [increase the diagram value.]","The edit capabilities of Infragenie allow to... [make the diagram more consistent.]","The edit capabilities of Infragenie allow to... [representing details that were not automatically captured.]","About the edit capabilities of Infragenie, are they useful to increase the diagram value or even to test out changes in the architecture? Let us know what do you think about this feature and how we can improve it.","Did the documentation of your projects include an architectural diagram(s) before using infragenie?","If yes, how do you compare it with the one generated by Infragenie?","Why?","I am considering to ... [add diagrams generated by Infragenie to my projects.]","I am considering to ... [use infragenie to visualize and plan changes in the architecture.]","I am considering to ... [use infragenie in new projects.]","Infragenie would be better if ... [more UML elements were available to use.]","Infragenie would be better if ... [it wasn't restricted to UML elements.]","Infragenie would be better if ... [it automatically detected architectural changes (keeping the diagram always updated without manual intervention).]","Leave us your comments. What did you think of the application, what improvements would you suggest and what new features would you like to have?"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Accountability and Audit (Getting IT certification)","1 to 4 years","IT Intern","France","Neutral","Neutral","Disagree","Disagree","Strongly agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Disagree","Disagree","Agree","Strongly agree","","Neutral","Neutral","Neutral","","No","","","Disagree","Disagree","Disagree","Agree","Neutral","Agree",""
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Software Engineering","1 to 4 years","Backend engineer","Austria","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Neutral","Disagree","Disagree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Disagree","Disagree","Disagree","Disagree","Neutral","Agree","","Neutral","Agree","Agree","","No","","","Disagree","Disagree","Disagree","Neutral","Strongly agree","Strongly agree",""
"Some college/university study without earning a degree","Informatics and Technology","5 to 9 years","Web developer","Hong Kong","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Disagree","Disagree","Strongly disagree","Strongly disagree","Agree","Agree","","Neutral","Neutral","Neutral","","No","","","Neutral","Disagree","Neutral","Agree","Strongly agree","Strongly agree",""
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Computer Science Engineering","15 or more","Developer Advocate","Italy","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","","Strongly Agree","Strongly Agree","Strongly Agree","","No","","","Agree","Neutral","Agree","Strongly agree","Neutral","Strongly agree",""
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Electrical and Electronics Engineering","15 or more","Data Consultant","United Kingdom","Agree","Agree","Neutral","Neutral","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","","Strongly Agree","Strongly Agree","Strongly Agree","","Yes","Neutral","Not better, not worst, but different. It has the advantage of being auto generated.","Agree","Neutral","Agree","Strongly agree","Strongly agree","Strongly agree",""
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Computer Software Engineering","10 to 14 years","Software backend engineer","Iran","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Neutral","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","","Strongly Agree","Strongly Agree","Strongly Agree","","No","","","Agree","Neutral","Agree","Strongly agree","Strongly disagree","Strongly agree",""
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Electrical and computer engineering","15 or more","Software engineer","Portugal","Strongly agree","Strongly agree","Neutral","Neutral","Strongly agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly agree","Strongly agree","Our architecture was really simple.","Strongly Agree","Strongly Agree","Strongly Agree","","No","","","Agree","Neutral","Agree","Strongly agree","Strongly agree","Strongly agree",""
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Network engineering","1 to 4 years","Development engineer","China","Agree","Agree","Neutral","Neutral","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Neutral","Neutral","Strongly agree","Strongly agree","","Strongly Agree","Strongly Agree","Strongly Agree","","No","","","Neutral","Neutral","Neutral","Strongly agree","Strongly agree","Strongly agree"," I think your idea is great, but the current generated graphs are not beautiful enough. I wish you can improve it better."
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Software development","5 to 9 years","Developer","UK","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Neutral","Agree","","Disagree","Neutral","Neutral","","No","","","Strongly disagree","Strongly disagree","Strongly disagree","Neutral","Neutral","Strongly agree","the diagram doesn't provide very much useful information."
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Software","1 to 4 years","Software engineer","UK","Neutral","Neutral","Disagree","Disagree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Neutral","Agree","","Disagree","Neutral","Neutral","","No","","","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree",""
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Electronics","5 to 9 years","DevOps","Canada","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Strongly agree","Strongly agree","","Strongly Agree","Strongly Agree","Strongly Agree","","Yes","Better","Just because it is simpler to understand since it maps the docker-compose file.","Agree","Neutral","Agree","Strongly agree","Disagree","Strongly agree",""
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Commerce and with software certifications","15 or more","Solution Architect","Japan","Neutral","Neutral","Neutral","Neutral","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Strongly agree","","Strongly Agree","Strongly Agree","Strongly Agree","","Yes","Better","The services have more information. In the previous architecture it was only a box.","Agree","Neutral","Agree","Strongly agree","Strongly agree","Strongly agree",""
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Informatic","15 or more",".Net Consultant","Belgium","Agree","Agree","Neutral","Neutral","Strongly agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree","Strongly agree","","Strongly Agree","Agree","Agree","","No","","","Agree","Neutral","Agree","Strongly agree","Strongly agree","Strongly agree","The editor should allow more freedom."
"Some college/university study without earning a degree","Science","10 to 14 years","Developer experience lead","USA","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","","Strongly Agree","Strongly Agree","Strongly Agree","","No","","","Agree","Neutral","Agree","Strongly agree","Neutral","Strongly agree","Cool concept! This would be a great addition to large projects! Not so useful for small projects, though."
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Computer Science","1 to 4 years","Software engineer","Taiwan","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","","Agree","Agree","Agree","","Yes","Neutral","The infrastructure was very small, no new addition was made.","Agree","Neutral","Agree","Strongly agree","Neutral","Agree",""
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Computer Science and Information security","1 to 4 years","DevOps","India","Agree","Agree","Neutral","Neutral","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","","Agree","Agree","Agree","","No","","","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Thank you for the contribution!"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Information Security","15 or more","Security Professional","Russia","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","","Agree","Agree","Agree","","Yes","Much better","More details and port information.","Agree","Disagree","Agree","Strongly agree","Strongly disagree","Strongly agree",""
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Informatics Management","15 or more","Software developer, CEO","India","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Agree","Agree","","Strongly Agree","Strongly Agree","Strongly Agree","","No","","","Neutral","Neutral","Neutral","Strongly agree","Strongly disagree","Strongly agree","The editor needs a massive improvement. Other than that the tool is nice."
